City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,edinburgh of the seven seas,-37.0676,-12.3116,11.76,71,100,7.76,SH,1724616370
1,diffa,13.3154,12.6113,26.18,74,100,5.47,NE,1724616372
2,toliara,-23.35,43.6667,23.46,62,0,2.54,MG,1724616373
3,amasra,41.7463,32.3863,22.11,78,2,2.28,TR,1724616374
4,saldanha,-33.0117,17.9442,10.03,88,10,5.08,ZA,1724616031
5,flying fish cove,-10.4217,105.6791,24.82,88,100,5.14,CX,1724616376
6,saint-philippe,-21.3585,55.7679,19.23,74,92,7.05,RE,1724615873
7,biguacu,-27.4942,-48.6556,16.19,58,89,1.53,BR,1724616379
8,seven pagodas,12.6264,80.1722,29.15,64,100,4.78,IN,1724616380
9,papatowai,-46.5619,169.4708,3.61,88,82,2.31,NZ,1724616381
10,kish,26.5578,54.0194,33.15,79,1,2.06,IR,1724616383
11,grytviken,-54.2811,-36.5092,-2.95,71,26,4.32,GS,1724616385
12,port alfred,-33.5906,26.891,15.66,90,100,0.45,ZA,1724616386
13,usogorsk,63.4106,48.6872,12.46,76,11,1.39,RU,1724616388
14,kamloops,50.6665,-120.3192,19.55,66,20,3.58,CA,1724616390
15,afaahiti,-17.75,-149.2833,22.26,80,100,11.45,PF,1724616391
16,ribeira grande,38.5167,-28.7,24.32,88,75,1.54,PT,1724615914
17,sitka,57.0531,-135.33,13.94,82,100,5.66,US,1724616394
18,nemuro,43.3236,145.575,16.41,92,100,3.64,JP,1724616395
19,ilulissat,69.2167,-51.1,1.68,99,100,1.71,GL,1724615862
20,lagoa da prata,-20.0225,-45.5436,27.02,38,49,7.42,BR,1724616194
21,puerto ayora,-0.7393,-90.3518,20.86,91,75,2.24,EC,1724616399
22,tolanaro,-25.0319,46.9987,20.04,77,20,9.26,MG,1724615881
23,maragogi,-9.0122,-35.2225,23.81,72,39,4.62,BR,1724616401
24,bethel,41.3712,-73.414,29.47,57,38,2.1,US,1724616178
25,port-aux-francais,-49.35,70.2167,4.62,71,85,13.62,TF,1724616404
26,prineville,44.2999,-120.8345,20.27,44,0,2.57,US,1724615954
27,tura,25.5198,90.2201,23.43,92,74,2.52,IN,1724616406
28,el granada,37.5027,-122.4694,23.88,69,0,5.66,US,1724616407
29,adamstown,-25.066,-130.1015,20.83,78,100,10.28,PN,1724616409
30,bamboo flat,11.7,92.7167,28.05,83,40,2.57,IN,1724615860
31,saryozek,44.3583,77.9753,16.7,41,100,1.64,KZ,1724616411
32,darwin,-12.4611,130.8418,23.83,88,0,0.0,AU,1724616391
33,west island,-12.1568,96.8225,25.99,83,20,5.66,CC,1724616414
34,nova vicosa,-17.8919,-39.3719,24.88,71,2,5.2,BR,1724616415
35,talnakh,69.4865,88.3972,11.11,76,99,2.44,RU,1724616416
36,puerto natales,-51.7236,-72.4875,6.25,75,75,1.03,CL,1724616417
37,luganville,-15.5333,167.1667,21.99,71,7,2.85,VU,1724616418
38,kalkaman,51.9525,76.0211,13.84,82,100,7.12,KZ,1724616420
39,thompson,55.7435,-97.8558,22.09,88,75,2.57,CA,1724616421
40,las tablas,7.7667,-80.2833,25.65,99,100,3.12,PA,1724616422
41,bilibino,68.0546,166.4372,7.13,69,19,1.81,RU,1724616424
42,iqaluit,63.7506,-68.5145,7.85,75,100,1.54,CA,1724616425
43,lompoc,34.6391,-120.4579,25.85,48,0,5.66,US,1724615939
